name,lat,lon
Your Location,41.6412,-111.8966
NASA Mission Control Center,29.557857,-95.089023
German Space Operation Center,48.086873,11.280641
South Point Satellite Station (Hawai'i),18.913628,-155.682263
Guiana Space Center,5.224441,-52.776433
Tsukuba Space Center (Japan),36.06514,140.127613
Troll Satellite Station (Antarctica),-72.002914,2.525675
Canberra Deep Space Complex (Australia),-35.401565,148.981433
North Pole Satellite Station (Alaska),64.75387,-147.345851
Master Control Facility (India),13.071199,76.099593
